User,Card,Year,Month,Day,Amount,UseChip,MerchantName,MerchantCity,MerchantState,Zip,MCC,target
1750.0,0.0,2015.0,7.0,16.0,$21.42,Swipe Transaction,Lukass Theaters,Tiffin,OH,44883.0,7832.0,No
1959.0,1.0,2016.0,5.0,5.0,$76.99,Chip Transaction,Jadens Wholesale,Lancaster,CA,93535.0,5300.0,No
182.0,2.0,2012.0,11.0,23.0,$2.19,Swipe Transaction,Supermarket Chain 3,Houston,TX,77096.0,5411.0,No
458.0,2.0,2019.0,5.0,15.0,$45.73,Chip Transaction,Supermarket Chain 3,Flint,MI,48532.0,5411.0,No
1949.0,0.0,2018.0,1.0,4.0,$1.25,Chip Transaction,Convenience Store Chain 1,Brooklyn,NY,11213.0,5499.0,No
899.0,1.0,2004.0,7.0,17.0,$100.00,Swipe Transaction,Money Transfer Company 1,Atlanta,GA,30349.0,4829.0,No
168.0,1.0,2005.0,9.0,15.0,$103.04,Swipe Transaction,Pharmacy Company 1,Minneapolis,MN,55407.0,5912.0,No
282.0,1.0,2016.0,12.0,16.0,$147.80,Chip Transaction,Pharmacy Company 1,Denver,CO,80220.0,5912.0,No
1167.0,5.0,2009.0,8.0,25.0,$84.41,Swipe Transaction,Taylor Caldwell Grocery,Caldwell,TX,77836.0,5411.0,No
362.0,0.0,2013.0,10.0,7.0,$45.29,Swipe Transaction,Solomons Home Materials,Brooklyn,NY,11213.0,5211.0,No
591.0,3.0,2015.0,9.0,3.0,$34.24,Chip Transaction,Gutierrez Family Clothing,Whiteriver,AZ,85941.0,5651.0,No
1113.0,4.0,2007.0,11.0,21.0,$9.45,Swipe Transaction,Ishaans Limousine,Erie,PA,16505.0,4121.0,No
732.0,2.0,2018.0,5.0,20.0,$433.18,Online Transaction,Online Casino 3,ONLINE,CA,51694.67689524219,7801.0,No
1075.0,5.0,2014.0,3.0,8.0,$89.03,Swipe Transaction,Pharmacy Company 1,Amherst,OH,44001.0,5912.0,No
1216.0,3.0,2005.0,3.0,1.0,$27.19,Swipe Transaction,Vending Machine Product 2,Houston,TX,77076.0,5499.0,No
95.0,2.0,2012.0,2.0,8.0,$22.26,Swipe Transaction,Wholesale Club 1,Arlington,TX,76014.0,5300.0,No
56.0,3.0,2009.0,12.0,15.0,$36.50,Swipe Transaction,Moore Gulf Shores Apothecary,Gulf Shores,AL,36547.0,5912.0,No
141.0,1.0,2003.0,4.0,30.0,$93.42,Swipe Transaction,Home Improvement Store 1,Paris,France,51694.67689524219,5211.0,No
1135.0,0.0,2014.0,9.0,14.0,$4.59,Swipe Transaction,Braun Shirley Market,Shirley,NY,11967.0,5411.0,No
1195.0,0.0,2017.0,2.0,4.0,$160.43,Chip Transaction,Ramirez Roswell Water,Roswell,NM,88201.0,4900.0,No
1129.0,0.0,2017.0,11.0,4.0,$1.18,Chip Transaction,Supermarket Chain 2,Hemlock,MI,48626.0,5411.0,No
220.0,2.0,2015.0,8.0,9.0,$24.00,Online Transaction,Online Retailer 2,ONLINE,CA,51694.67689524219,5311.0,No
1933.0,4.0,2019.0,6.0,14.0,$41.75,Chip Transaction,Discount Store 1,Carrboro,NC,27510.0,5310.0,No
1664.0,5.0,2016.0,7.0,23.0,$23.93,Swipe Transaction,Movie Theater Chain 1,Roann,IN,46974.0,7832.0,No
899.0,1.0,2012.0,11.0,12.0,$197.70,Swipe Transaction,Taylor Podiatrists,Atlanta,GA,30344.0,8049.0,No
1752.0,0.0,2011.0,6.0,28.0,$0.23,Swipe Transaction,Convenience Store Chain 3,Owatonna,MN,55060.0,5499.0,No
475.0,4.0,2015.0,1.0,11.0,$0.76,Chip Transaction,Bookstore Company 1,Irvine,CA,92614.0,5942.0,No
70.0,0.0,2009.0,12.0,21.0,$11.55,Swipe Transaction,Restaurant Chain 1,Post Falls,ID,83854.0,5812.0,No
1567.0,2.0,2017.0,6.0,9.0,$14.59,Chip Transaction,Lilys Foods,Chino,CA,91710.0,5411.0,No
693.0,0.0,2019.0,9.0,14.0,$127.41,Chip Transaction,Supermarket Chain 2,Fort Lauderdale,FL,33301.0,5411.0,No
816.0,5.0,2000.0,7.0,28.0,$20.14,Swipe Transaction,Butler Wholesale,Lawrenceville,GA,30043.0,5300.0,No
56.0,1.0,2013.0,1.0,24.0,$32.13,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
920.0,0.0,2009.0,6.0,25.0,$6.21,Swipe Transaction,Convenience Store Chain 1,Fort Smith,AR,72904.0,5499.0,No
1804.0,0.0,2016.0,11.0,13.0,$43.68,Chip Transaction,Auto Service Company 1,Winthrop,ME,4364.0,7538.0,No
706.0,3.0,2004.0,10.0,22.0,$22.10,Swipe Transaction,Wholesale Club 1,Los Angeles,CA,90023.0,5300.0,No
1744.0,0.0,2019.0,1.0,18.0,$210.24,Online Transaction,Insurance Company 11,ONLINE,CA,51694.67689524219,6300.0,No
1450.0,0.0,2015.0,7.0,29.0,$3.27,Swipe Transaction,Restaurant Chain 5,Fresno,CA,93720.0,5812.0,No
740.0,5.0,2012.0,11.0,11.0,$25.96,Swipe Transaction,Fernandez Bar,Melville,NY,11747.0,5813.0,No
47.0,1.0,2008.0,1.0,19.0,$13.11,Swipe Transaction,Parker Fine Foods,Anderson,SC,29626.0,5411.0,No
358.0,3.0,2005.0,5.0,3.0,$47.08,Swipe Transaction,Fast Food Chain 1,Saint Paul,MN,55113.0,5814.0,No
323.0,0.0,2010.0,7.0,27.0,$22.94,Swipe Transaction,Fast Food Chain 3,Columbus,OH,43201.0,5814.0,No
401.0,4.0,2010.0,1.0,30.0,$26.17,Swipe Transaction,Hardware Store 2,Youngstown,OH,44511.0,5251.0,No
1333.0,4.0,2013.0,5.0,16.0,$5.81,Swipe Transaction,Fast Food Chain 1,Alvin,TX,77511.0,5814.0,No
175.0,1.0,2012.0,9.0,26.0,$23.15,Swipe Transaction,Fast Food Chain 16,Jesup,GA,31545.0,5814.0,No
545.0,0.0,2017.0,6.0,17.0,$29.13,Chip Transaction,Torres Foods,Fremont,NE,68025.0,5411.0,No
101.0,0.0,2013.0,2.0,10.0,$12.23,Swipe Transaction,Supermarket Chain 2,Alameda,CA,94501.0,5411.0,No
38.0,0.0,2011.0,1.0,14.0,$0.98,Swipe Transaction,Bookstore Company 1,Carlsbad,CA,92009.0,5942.0,No
1202.0,4.0,2019.0,3.0,14.0,$67.52,Chip Transaction,Supermarket Chain 3,Spiro,OK,74959.0,5411.0,No
591.0,1.0,2009.0,11.0,19.0,$35.13,Swipe Transaction,Movie Theater Chain 3,Flagstaff,AZ,86001.0,7832.0,No
913.0,3.0,1998.0,1.0,15.0,$72.28,Swipe Transaction,Fast Food Chain 10,Ellicott City,MD,21043.0,5814.0,No
180.0,2.0,2001.0,3.0,10.0,$101.87,Swipe Transaction,Department Store 2,Titusville,FL,32780.0,5311.0,No
35.0,0.0,2012.0,12.0,23.0,$13.07,Online Transaction,Ride Sharing Company 2,ONLINE,CA,51694.67689524219,4121.0,No
839.0,0.0,2017.0,5.0,15.0,$72.80,Swipe Transaction,Carter Pharmacy,Mexico City,Mexico,51694.67689524219,5912.0,No
1304.0,1.0,2010.0,12.0,24.0,$1.50,Swipe Transaction,Consolidated Foods,Marietta,GA,30068.0,5411.0,No
261.0,0.0,2015.0,5.0,16.0,$27.71,Chip Transaction,Delivery Company 2,Moorhead,MN,56560.0,4214.0,No
575.0,0.0,2011.0,7.0,10.0,$34.85,Swipe Transaction,Mylahs Grocery,Whitehouse Station,NJ,8889.0,5411.0,No
1696.0,1.0,2020.0,2.0,21.0,$13.15,Online Transaction,Ride Sharing Company 2,ONLINE,CA,51694.67689524219,4121.0,No
813.0,1.0,2012.0,7.0,17.0,$61.96,Swipe Transaction,Discount Store 1,West Fargo,ND,58078.0,5310.0,No
435.0,0.0,2018.0,8.0,24.0,$105.73,Chip Transaction,Restaurant Chain 11,Fayetteville,NC,28306.0,5812.0,No
197.0,4.0,2012.0,4.0,21.0,$11.32,Swipe Transaction,Wholesale Club 1,Columbus,IN,47201.0,5300.0,No
24.0,0.0,2017.0,7.0,10.0,$9.85,Chip Transaction,Samirs Taunton Theaters,Taunton,MA,2780.0,7832.0,No
385.0,0.0,2007.0,12.0,26.0,$239.46,Swipe Transaction,Rail Company 1,Manassas,VA,20110.0,4112.0,No
389.0,5.0,2007.0,8.0,14.0,$49.43,Online Transaction,Auto Toll Provider 7,ONLINE,CA,51694.67689524219,4784.0,No
1682.0,4.0,2011.0,9.0,8.0,$548.96,Swipe Transaction,Hotel and Resort Company 8,Rancho Cucamonga,CA,91730.0,3596.0,No
1594.0,0.0,2014.0,1.0,7.0,$62.26,Swipe Transaction,Cristians Market,Concord,NC,28027.0,5411.0,No
611.0,0.0,2002.0,10.0,21.0,$35.59,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
1458.0,0.0,2020.0,1.0,16.0,$36.57,Chip Transaction,Nelson Car Service,Olathe,KS,66062.0,4121.0,No
705.0,4.0,2019.0,1.0,24.0,$22.40,Chip Transaction,Supermarket Chain 2,Hamilton,OH,45011.0,5411.0,No
648.0,2.0,2016.0,11.0,28.0,$77.62,Chip Transaction,Supermarket Chain 3,San Jose,CA,95124.0,5411.0,No
574.0,3.0,2007.0,7.0,15.0,$55.70,Swipe Transaction,Maeves Eats,Littleton,CO,80130.0,5812.0,No
974.0,0.0,2013.0,11.0,18.0,$3.10,Swipe Transaction,Giulianas Hallandale Supermarket,Hallandale,FL,33009.0,5411.0,No
